symbol,market
3217,INDEXDB
ISG,LON
5JS,SGX
PADINI,KLSE
580,SGX
R14,SGX
8141,TYO
JST,NASDAQ
BZM,NYSEMKT
BZM,CNSX
C61U,SGX
NNCL,BKK
XCD,CURRENCY
VIZ,FRA
REY,BME
RIGI,OTCMKTS
PLZ,FRA
PLZ,WSE
AOD,ETR
GRNT,MCX
RUE,NASDAQ
FINDEP,BMV
9446,TYO
SOD,CNSX
SGC,CVE
SERVE,IST
SELGD,IST
AEE,CVE
AEE,JSE
SKT,WSE
SLX,NYSEARCA
SLX,TSE
SLX,FRA
SOLI,OTCMKTS
STF,WSE
NCM,SWX
1324,TYO
2024,TYO
TMPO,IDX
TMIN,TLV
TMIN,OTCMKTS
NCON,LON
NCON,BCBA
ITE,NYSEARCA
ITE,JSE
ITG,WSE
N6H,SGX
N6H,FRA
TEKTU,IST
TIS,NYSEMKT
ITRN,TLV
TLC,CVE
ALTRS,EPA
BVC,TLV
BFU,SGX
BFU,FRA
GWI,INDEXNYSEGIS
E6R,SGX
ACES,IDX
CJO,ASX
CJO,CVE
TTK,SWX
2939,HKG
3337,TYO
OGC,NZE
OGC,BKK
ATS,VIE
2266,TYO
533001,BOM
BEST,OTCMKTS
IVA,TSE
VVD,WSE
VIE,SWX
SSH1V,HEL
CCK,FRA
CCK,KLSE
ECA,WSE
BSDE,IDX
CAM,NYSE
VVE,FRA
4SHK,ETR
4SHK,FRA
ALCTX,MUTF
CSAP,IDX
BNE,SGX
103140,KRX
WRF,FRA
UZMA,KLSE
2268,TYO
2477,TYO
VOIR,KLSE
FAJAR,KLSE
533006,BOM
BTEK,IDX
5EL,SGX
JMR,FRA
JMR,KLSE
WCB,ASX
C29,SGX
REED,NYSEMKT
5NV,SGX
GNB,WSE
GNB,KLSE
PPL,NZE
CEG,NYSE
CEG,VIE
5491,TYO
8287,TYO
ADAM,NYSE
100090,KOSDAQ
ALIPS,EPA
2267,TYO
LABB,BMV
RVE,INDEXNYSEGIS
SFZ,FRA
SFZDA,ASX
BUA,ASX
4952,TYO
4952,KLSE
YKGYO,IST
BAO,LON
1407,TYO
NKP,FRA
CTO,NYSEMKT
2034,TYO
2023,TYO
SBLM,LON
AGE,CVE
3022,TYO
PEQ,LON
PEQ,TSE
SWJ,LON
SCIN,NYSEARCA
AIP,JSE
ADU,LON
200130,KOSDAQ
200230,KOSDAQ
200670,KOSDAQ
200710,KOSDAQ
200880,KRX
204320,KRX
204990,KOSDAQ
2060,TADAWUL
2060,TYO
206560,KOSDAQ
2067,TYO
2069,TYO
207760,KOSDAQ
207940,KRX
208370,KOSDAQ
208860,KOSDAQ
8230,TYO
8230,TADAWUL
NNIA,ETR
NNIA,FRA
8186,TYO
5E3B,FRA
1349,TYO
PHM,BME
PHM,JSE
8200,TYO
8200,TADAWUL
2100,TADAWUL
210540,KRX
210980,KRX
211270,KOSDAQ
2120,TYO
2120,TADAWUL
212560,KOSDAQ
213090,KOSDAQ
213420,KOSDAQ
213500,KRX
214180,KOSDAQ
214390,KRX
214430,KOSDAQ
214870,KOSDAQ
215000,KOSDAQ
215200,KOSDAQ
215360,KOSDAQ
216050,KOSDAQ
217190,KOSDAQ
217480,KOSDAQ
217730,KOSDAQ
217820,KOSDAQ
219130,KOSDAQ
219550,KOSDAQ
P6J2,ETR
8065,TYO
BPI,LON
8077,TYO
2109,TYO
6158,TYO
SCAP,NYSEARCA
220100,KOSDAQ
220630,KOSDAQ
221610,KOSDAQ
221840,KOSDAQ
221980,KOSDAQ
222040,KOSDAQ
222110,KOSDAQ
222800,KOSDAQ
222980,KOSDAQ
223310,KOSDAQ
225330,KOSDAQ
225650,KOSDAQ
226320,KRX
228850,KOSDAQ
4341,TYO
2296,TYO
MIDA,BKK
ACAD,STO
STY,FRA
5399,INDEXDB
2459,TYO
TGPRO,BKK
URS,NYSE
URS,FRA
URS,WSE
230360,KOSDAQ
540,SGX
234080,KRX
234920,KOSDAQ
236200,KOSDAQ
237690,KOSDAQ
237880,KOSDAQ
238090,KOSDAQ
2393,TYO
239610,KOSDAQ
TEAK,VIE
BGO,FRA
BGO,CNSX
BGO,SGX
EFH,WSE
MRLN,BMV
JPR,FRA
JPR,WSE
SCUN,ETR
SCUN,FRA
BYAN,IDX
AAB,CPH
AAB,FRA
507526,BOM
240810,KOSDAQ
241590,KRX
241690,KOSDAQ
241710,KOSDAQ
2424,TYO
243070,KOSDAQ
2452,TYO
ILIM,OTCMKTS
ASOG,LON
ASOG,INDEXFTSE
CTRS,IDX
TVD,BKK
2270,TYO
2270,TADAWUL
595,SGX
