symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
GGL,ASX,Gruden Group Ltd,GGL,31966,YES,AX,price/ASX/GGL.AX.csv,YES,desc/ASX/GGL.txt
300048,SHE,Hiconics Eco-energy Technology Co Ltd,300048,31968,YES,SZ,price/SHE/300048.SZ.csv,YES,desc/SHE/300048.txt
300045,SHE,Hwa Create Co Ltd,300045,31970,YES,SZ,price/SHE/300045.SZ.csv,YES,desc/SHE/300045.txt
3341,TYO,"NIHON CHOUZAI Co.,Ltd.",3341,31973,No,,,YES,desc/TYO/3341.txt
300046,SHE,Tech Semiconductors Co Ltd,300046,31976,YES,SZ,price/SHE/300046.SZ.csv,YES,desc/SHE/300046.txt
FRRDA,ASX,FRIGRITE DEF SET,FRRDA,31980,No,,,No,
RHP,NYSE,"Ryman Hospitality Properties, Inc. (REIT)",RHP,31983,YES,NYSE,price/NYSE/RHP.csv,No,
RHP,ASX,Rhipe Ltd,RHP,31983,YES,AX,price/ASX/RHP.AX.csv,YES,desc/ASX/RHP.txt
RHP,FRA,"AMT AMST.MOL.TH.H. EO-,04",RHP,31983,No,,,No,
601009,SHA,"Bank Of Nanjing Co.,Ltd.",601009,31988,YES,SS,price/SHA/601009.SS.csv,YES,desc/SHA/601009.txt
8352,HKG,Sing On Holdings Ltd,8352,31998,YES,HK,price/HKG/8352.HK.csv,YES,desc/HKG/8352.txt
2764,TYO,Hiramatsu Inc,2764,31999,No,,,YES,desc/TYO/2764.txt
CORE,NASDAQ,"Core-Mark Holding Company, Inc.",CORE,32009,YES,NASDAQ,price/NASDAQ/CORE.csv,YES,desc/NASDAQ/CORE.txt
CORE,CVE,Canadian Orebodies Inc.,CORE,32009,YES,V,price/CVE/CORE.V.csv,YES,desc/CVE/CORE.txt
H9W,ETR,HWA AG,H9W,32010,YES,DE,price/ETR/H9W.DE.csv,YES,desc/ETR/H9W.txt
H9W,FRA,HWA AG,H9W,32010,YES,F,price/FRA/H9W.F.csv,YES,desc/FRA/H9W.txt
ABLX,EBR,Ablynx NV,ABLX,32022,YES,BR,price/EBR/ABLX.BR.csv,YES,desc/EBR/ABLX.txt
8416,TYO,Bank of Kochi Ltd,8416,32023,No,,,YES,desc/TYO/8416.txt
8416,HKG,HM International Holdings Ltd,8416,32023,YES,HK,price/HKG/8416.HK.csv,YES,desc/HKG/8416.txt
WIKA,IDX,Wijaya Karya (Persero) Tbk PT,WIKA,32031,No,,,YES,desc/IDX/WIKA.txt
CPR,BIT,Davide Campari-Milano SpA,CPR,32040,YES,MI,price/BIT/CPR.MI.csv,YES,desc/BIT/CPR.txt
CPR,LON,Carpetright plc,CPR,32040,YES,L,price/LON/CPR.L.csv,YES,desc/LON/CPR.txt
CPR,ELI,CIMPOR - Cimentos de Portugal SGPS SA,CPR,32040,YES,LS,price/ELI/CPR.LS.csv,YES,desc/ELI/CPR.txt
CPR,BKK,CPR Gomu Industrial PCL,CPR,32040,No,,,YES,desc/BKK/CPR.txt
HMED,STO,Hansa Medical AB,HMED,32042,No,,,YES,desc/STO/HMED.txt
HMED,LON,HSBC ETFS PLC HSBC MSCI MEXICO CAPPED UCITS ETF $,HMED,32042,YES,L,price/LON/HMED.L.csv,No,
HMED,FRA,"ORNT.UNIC.AGRI GRP HD-,16",HMED,32042,YES,F,price/FRA/HMED.F.csv,No,
5NG,SGX,Healthway Medical Corp Ltd,5NG,32043,No,,,YES,desc/SGX/5NG.txt
5NG,FRA,"NEPHROGENEX INC. DL -,001",5NG,32043,No,,,No,
ALPH,LON,Alpha Pyrenees Trust Limited,ALPH,32044,YES,L,price/LON/ALPH.L.csv,YES,desc/LON/ALPH.txt
600291,SHA,Xishui Strong Year Co Ltd Inner Mongolia,600291,32047,YES,SS,price/SHA/600291.SS.csv,YES,desc/SHA/600291.txt
900250,KOSDAQ,China Crystal New Material Hldgs Co Ltd,900250,32051,No,,,YES,desc/KOSDAQ/900250.txt
9024,TYO,Seibu Holdings Inc,9024,32057,No,,,YES,desc/TYO/9024.txt
600328,SHA,Inner Mongolia Lantai Industrial Co Ltd,600328,32058,YES,SS,price/SHA/600328.SS.csv,YES,desc/SHA/600328.txt
600247,SHA,Jilin Chengcheng Group Co Ltd,600247,32061,YES,SS,price/SHA/600247.SS.csv,YES,desc/SHA/600247.txt
600211,SHA,Tibet Rhodiola Pharmaceutical Holding Co,600211,32063,YES,SS,price/SHA/600211.SS.csv,YES,desc/SHA/600211.txt
600266,SHA,Beijing Urban Const. Inv. & Dev. Co. Ltd,600266,32065,YES,SS,price/SHA/600266.SS.csv,YES,desc/SHA/600266.txt
9090,TYO,Maruwa Unyu Kikan Co Ltd,9090,32070,No,,,YES,desc/TYO/9090.txt
9099,TYO,Chilled & Frozen Logistics Holdng Co Ltd,9099,32072,No,,,YES,desc/TYO/9099.txt
MND,JSE,Mondi Limited,MND,32073,No,,,YES,desc/JSE/MND.txt
MND,TSE,Mandalay Resources Corp.,MND,32073,YES,TO,price/TSE/MND.TO.csv,YES,desc/TSE/MND.txt
MND,ASX,Monadelphous Group Limited,MND,32073,YES,AX,price/ASX/MND.AX.csv,YES,desc/ASX/MND.txt
MND,LON,MONDI LIMITED ORD NPV,MND,32073,YES,L,price/LON/MND.L.csv,No,
MND,EPA,Montagne et Neige Developpement SA,MND,32073,YES,PA,price/EPA/MND.PA.csv,YES,desc/EPA/MND.txt
MNDI,LON,Mondi Plc,MNDI,32075,YES,L,price/LON/MNDI.L.csv,YES,desc/LON/MNDI.txt
LSC,NYSEARCA,HSBC Global Absolute Limited ELEMENTS S&P CTI I...,LSC,32076,No,,,No,
LSC,LON,London Security plc,LSC,32076,No,,,YES,desc/LON/LSC.txt
LSC,TSE,Lifeco Split Corporation,LSC,32076,No,,,No,
LSC,CVE,Lsc Lithium Corp,LSC,32076,No,,,YES,desc/CVE/LSC.txt
DPRM,TLV,D Pharm Ltd,DPRM,32078,No,,,YES,desc/TLV/DPRM.txt
3266,TYO,Fund Creation Group Co Ltd,3266,32081,No,,,YES,desc/TYO/3266.txt
3266,TPE,Sunty Development Co Ltd,3266,32081,YES,TW,price/TPE/3266.TW.csv,YES,desc/TPE/3266.txt
LCM,NYSE,Advent/Claymore Enhanced Growth & Income,LCM,32083,YES,NYSE,price/NYSE/LCM.csv,YES,desc/NYSE/LCM.txt
LCM,ASX,LogiCamms Limited,LCM,32083,YES,AX,price/ASX/LCM.AX.csv,YES,desc/ASX/LCM.txt
LCM,FRA,"COSTAMARE INC. DL-,0001",LCM,32083,YES,F,price/FRA/LCM.F.csv,No,
3153,TYO,Yashima Denki Co Ltd,3153,32102,No,,,YES,desc/TYO/3153.txt
3153,HKG,MR A HEALTH ETF,3153,32102,YES,HK,price/HKG/3153.HK.csv,No,
8079,HKG,Easy Repay Finance & Investment Ltd,8079,32104,YES,HK,price/HKG/8079.HK.csv,YES,desc/HKG/8079.txt
8079,TYO,SHOEI FOODS CORPORATION,8079,32104,No,,,YES,desc/TYO/8079.txt
8385,TYO,Iyo Bank Ltd,8385,32114,No,,,YES,desc/TYO/8385.txt
8385,HKG,IR RESOURCE-OLD,8385,32114,No,,,YES,desc/HKG/8385.txt
600467,SHA,Shandong Homey Aquatic Development CoLtd,600467,32123,YES,SS,price/SHA/600467.SS.csv,YES,desc/SHA/600467.txt
